#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,edge_id,entity_id,entity_type,measurement_id,station_id,tag_id,tenant_id
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:42:00Z,70950,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:43:00Z,72600,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:44:00Z,71300,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:45:00Z,72660,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:46:00Z,77220,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:47:00Z,85125,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:48:00Z,83640,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:49:00Z,79800,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:50:00Z,72400,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:51:00Z,71350,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:52:00Z,71340,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:53:00Z,69250,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:54:00Z,68850,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:30:58.586180417Z,2026-04-10T07:30:58.586180417Z,2026-04-10T04:55:00Z,72000,power,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,fb3bf0df-a440-4b23-a3a5-bd49ea36e411,003c80a2-83dc-4df1-a2b7-db0bfef7688e,power_connection_point,75fe2013-b247-4d9d-bad1-203bcca8cb6c,7fefb0bd-7b2a-1fd4-cd38-2a08c300e886,8d64fbe0-a8cb-45e7-a30f-e61bf15f9327,5855b8fe-6af9-4765-aeee-6d8441ec2a70
