#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,edge_id,entity_id,entity_type,measurement_id,tag_id,tenant_id
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:45:00Z,3141952377.994885,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:46:00Z,3141952378.5876713,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:47:00Z,3141952379.009403,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:48:00Z,3141952379.2965865,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:49:00Z,3141952379.6409345,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:50:00Z,3141952380.1859813,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:51:00Z,3141952380.820978,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:52:00Z,3141952381.468022,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:53:00Z,3141952382.0175834,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
,,0,2026-04-10T04:33:29.296656441Z,2026-04-10T07:33:29.296656441Z,2026-04-10T04:54:00Z,3141952382.451468,energy,069ceef5-c089-40d5-b56c-6cca9fcfe296,069ceef5-c089-40d5-b56c-6cca9fcfe296,0de12792-1831-4fcd-9a43-d5206e56a013,energy_meter,44f2535a-4548-4677-9fca-62b85d4a1a52,1b3e3023-3e10-4604-b76d-27b885dd33b8,5855b8fe-6af9-4765-aeee-6d8441ec2a70
